user_id,tenancy,component,environment,login_time,logins
user_00461,Tenancy C,Connect,Production,2025-06-23,1
user_00542,Tenancy A,Connect,Staging,2025-06-23,1
user_00270,Tenancy B,Connect,Staging,2025-06-23,5
user_00191,Tenancy A,Workbench,Development,2025-06-23,2
user_00062,Tenancy E,Connect,Staging,2025-06-23,6
user_00020,Tenancy D,Connect,Staging,2025-06-23,2
user_00417,Tenancy B,Connect,Staging,2025-06-23,4
user_00187,Tenancy A,Connect,Production,2025-06-23,5
user_00169,Tenancy A,Connect,Production,2025-06-23,6
user_00434,Tenancy D,Workbench,Production,2025-06-23,5
user_00204,Tenancy D,Connect,Production,2025-06-23,4
user_00412,Tenancy B,Connect,Staging,2025-06-23,1
user_00016,Tenancy E,Workbench,Development,2025-06-23,7
user_00130,Tenancy D,Connect,Staging,2025-06-23,6
user_00087,Tenancy E,Workbench,Development,2025-06-23,2
user_00433,Tenancy C,Workbench,Staging,2025-06-23,7
user_00516,Tenancy D,Connect,Staging,2025-06-23,7
user_00163,Tenancy D,Connect,Production,2025-06-23,1
user_00151,Tenancy A,Connect,Staging,2025-06-23,2
user_00304,Tenancy E,Connect,Production,2025-06-23,1
user_00210,Tenancy E,Connect,Production,2025-06-24,2
user_00036,Tenancy E,Workbench,Development,2025-06-24,2
user_00297,Tenancy D,Workbench,Staging,2025-06-24,2
user_00195,Tenancy D,Connect,Staging,2025-06-24,3
user_00595,Tenancy C,Workbench,Staging,2025-06-24,5
user_00238,Tenancy D,Connect,Production,2025-06-24,3
user_00489,Tenancy D,Connect,Production,2025-06-24,3
user_00103,Tenancy C,Workbench,Staging,2025-06-24,6
user_00104,Tenancy E,Workbench,Development,2025-06-24,1
user_00412,Tenancy B,Workbench,Production,2025-06-24,2
user_00255,Tenancy C,Connect,Staging,2025-06-24,2
user_00381,Tenancy E,Workbench,Staging,2025-06-24,1
user_00218,Tenancy A,Connect,Development,2025-06-24,7
user_00234,Tenancy C,Connect,Staging,2025-06-24,7
user_00458,Tenancy D,Workbench,Development,2025-06-24,7
user_00267,Tenancy A,Connect,Development,2025-06-24,4
user_00497,Tenancy D,Workbench,Production,2025-06-24,6
user_00137,Tenancy E,Workbench,Production,2025-06-24,5
user_00086,Tenancy E,Workbench,Development,2025-06-24,1
user_00097,Tenancy B,Connect,Development,2025-06-24,4
user_00212,Tenancy D,Workbench,Development,2025-06-24,4
